NO,名称,名称_かな,名称_カナ,住所,方書,郵便番号,緯度,経度,標高,電話番号,内線番号,FAX番号,Eメールアドレス,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ，土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,避難施設種別,指定避難所との重複,炊はん能力,想定収容人数,対象となる町会・自治会,URL,避難時連絡先,避難時連絡先電話番号,避難時連絡先（夜間・休日）,避難時連絡先（夜間・休日）電話番号,備考
1,波多江コミュニティセンター,,,福岡県糸島市池田216-1,,819 1103,33.567057,130.232511,,092 322 1614,,,,402303,福岡県,糸島市,1,,,1,,1,1,,,1,,175,,,,,,,
2,波多江小学校グラウンド,,,福岡県糸島市波多江駅北四丁目12-1,,819 1107,33.56552,130.2299319,,092 322 2330,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3500,,,,,,,
3,波多江コミュニティ広場,,,福岡県糸島市池田214-1,,819 1103,33.566265,130.232585,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2000,,,,,,,
4,高田東公園,,,福岡県糸島市高田四丁目17,,819 1102,33.572502,130.237551,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,500,,,,,,,
5,東風コミュニティセンター ,,,福岡県糸島市潤四丁目10-2,,819 1105,33.567711,130.215747,,092 321 1114,,,,402303,福岡県,糸島市,,1,,1,,1,1,,,1,,100,,,,,,,
6,東風小学校グラウンド,,,福岡県糸島市潤四丁目10-1,,819 1105,33.567462,130.216806,,092 321 4888,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3000,,,,,,,
7,浦志公園,,,福岡県糸島市浦志二丁目3,,819 1112,33.5637002,130.2084884,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
8,潤公園,,,福岡県糸島市潤三丁目5,,819 1105,33.5652568,130.2148093,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
9,潤南公園,,,福岡県糸島市潤一丁目284-1,,819 1105,33.5610443,130.217412,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,850,,,,,,,
10,健康福祉センター　あごら,,,福岡県糸島市潤一丁目22-1,,819 1105,33.558579,130.219056,,092 322 6262,,,,402303,福岡県,糸島市,1,,,1,,1,1,,,1,,400,,,,,,,
